name,position,salary,season
Shaquille O'Neal, C,17142000,2000
Kevin Garnett, PF,16806000,2000
Alonzo Mourning, C,15004000,2000
Juwan Howard, PF,15000000,2000
Scottie Pippen, SF,14795000,2000
Karl Malone, PF,14000000,2000
Larry Johnson, F,11910000,2000
Gary Payton, PG,11020000,2000
Rasheed Wallace, PF,10800000,2000
Shawn Kemp, C,10780000,2000
Damon Stoudamire, PG,10125000,2000
Antonio McDyess, PF,9900000,2000
Antoine Walker, PF,9000000,2000
Shareef Abdur-Rahim, PF,9000000,2000
Allen Iverson, SG,9000000,2000
Vin Baker, PF,9000000,2000
Anfernee Hardaway, SF,9000000,2000
Ray Allen, SG,9000000,2000
Kobe Bryant, SF,9000000,2000
Stephon Marbury, PG,9000000,2000
Vlade Divac, C,8837000,2000
Bryant Reeves, C,8666000,2000
Tom Gugliotta, PF,8558000,2000
Nick Van Exel, PG,8354000,2000
Elden Campbell, C,7975000,2000
Terrell Brandon, PG,7400000,2000
Derrick Coleman, PF,7370000,2000
Glenn Robinson, SF,7250000,2000
Steve Smith, SG,7200000,2000
Kerry Kittles, SG,7166000,2000
Chris Dudley, C,7100000,2000
Theo Ratliff, C,7031000,2000
Matt Geiger, C,6889000,2000
Jason Kidd, PG,6858000,2000
Kenny Anderson, PG,6680000,2000
Tyrone Hill, PF,6422000,2000
Clifford Robinson, PF,6125000,2000
Jamal Mashburn, SF,5600000,2000
Steve Nash, PG,5500000,2000
Alan Henderson, PF,5318000,2000
Donyell Marshall, PF,5250000,2000
Marcus Camby, C,5250000,2000
Greg Ostertag, C,5200000,2000
Luc Longley, C,5175000,2000
P.J. Brown, PF,5124000,2000
Jermaine O'Neal, C,5075000,2000
Erick Dampier, C,4988000,2000
Wesley Person, SF,4900000,2000
Isaac Austin, C,4819000,2000
Loy Vaught, F,4810000,2000
Robert Horry, PF,4800000,2000
Derrick McKey, F,4800000,2000
Jim Mcilvaine, C,4800000,2000
Jerry Stackhouse, SF,4781000,2000
Charlie Ward, PG,4540000,2000
Dale Davis, PF,4490000,2000
Lorenzen Wright, PF,4400000,2000
Mookie Blaylock, G,4200000,2000
Chris Mills, SF,4200000,2000
Chris Childs, G,4160000,2000
Darrel Armstrong, PG,4125000,2000
Bryon Russell, SF,4000000,2000
Brent Barry, SG,3960000,2000
Jason Caffey, F,3937000,2000
Vitaly Potapenko, C,3810000,2000
Bob Sura, PG,3760000,2000
Walt Williams, F,3750000,2000
Scott Williams, C,3750000,2000
Sam Cassell, PG,3500000,2000
Michael Olowokandi, C,3456000,2000
Elton Brand, PF,3375000,2000
Eric Williams, PF,3336000,2000
Travis Best, PG,3250000,2000
Michael Stewart, PF,3200000,2000
Derek Strong, F,3159000,2000
Mike Bibby, PG,3092000,2000
Rick Fox, SF,3033000,2000
Steve Francis, PG,3020000,2000
Derek Fisher, PG,3000000,2000
Lamond Murray, SF,3000000,2000
Eric Snow, PG,3000000,2000
Ervin Johnson, C,2951000,2000
Brent Price, G,2944000,2000
Travis Knight, C,2800000,2000
Raef LaFrentz, C,2777000,2000
Tracy Murray, SF,2720000,2000
Tyrone Nesby, F,2716000,2000
Baron Davis, PG,2712000,2000
Vonteego Cummings, PG,2600000,2000
David Wesley, SG,2520000,2000
Dean Garrett, C,2520000,2000
Antawn Jamison, PF,2503000,2000
Walter McCarty, PF,2500000,2000
Anthony Peeler, SG,2495000,2000
Lamar Odom, PF,2445000,2000
Cedric Henderson, F,2400000,2000
Lawrence Funderburke, PF,2400000,2000
Lindsey Hunter, SG,2350000,2000
Malik Rose, PF,2285000,2000
Vince Carter, G,2267000,2000
Jonathan Bender, SF,2214000,2000
Dell Curry, G,2100000,2000
Robert Traylor, PF,2059000,2000
Othella Harrington, PF,2025000,2000
Wally Szczerbiak, SG,2011000,2000
Eric Montross, C,2000000,2000
Eric Piatkowski, SG,2000000,2000
Rodney Rogers, SF,2000000,2000
Jamie Feick, F,2000000,2000
John Wallace, SF,2000000,2000
Terry Porter, G,2000000,2000
Shandon Anderson, SF,2000000,2000
Calbert Cheaney, SG,2000000,2000
Michael Curry, SF,2000000,2000
George Lynch, SF,2000000,2000
Grant Long, F,2000000,2000
Chris Crawford, SF,2000000,2000
Steve Kerr, G,1968000,2000
Vinny Del Negro, G,1925000,2000
Sean Rooks, C,1920000,2000
Lucious Harris, SG,1920000,2000
Jason Williams, PG,1879000,2000
Richard Hamilton, SG,1836000,2000
Larry Hughes, SG,1722000,2000
Andre Miller, PG,1682000,2000
Dirk Nowitzki, F,1583000,2000
Shawn Marion, SG,1546000,2000
Paul Pierce, SF,1503000,2000
Jason Terry, G,1468000,2000
Bonzi Wells, SG,1428000,2000
Trajan Langdon, SG,1394000,2000
