player,salary,salary adjusted,season,position
Aaron McKie,8500000,11266192,2005,PG
Aaron Miles,155614,206256,2005,PG
Aaron Williams,3375000,4473341,2005,C
Adonal Foyle,7312500,9692239,2005,C
Adrian Griffin,768718,1018885,2005,SG
Al Harrington,6957500,9221710,2005,PF
Al Jefferson,1512840,2005170,2005,PF
Alan Anderson,398762,528532,2005,SF
Alan Henderson,1138500,1509007,2005,C
Aleksandar Pavlovic,1274160,1688815,2005,SF
Alex Acker,398762,528532,2005,SG
Alex Scales,24315,32227,2005,SG
Allan Houston,19125000,25348933,2005,SG
Allen Iverson,16453125,21807538,2005,PG
Alonzo Mourning,5138500,6810744,2005,C
Alvin Williams,6300000,8350237,2005,PG
Amare Stoudemire,2589023,3431580,2005,C
Amir Johnson,398762,528532,2005,SF
Anderson Varejao,866800,1148886,2005,C
Andray Blatche,398762,528532,2005,PF
Andre Emmett,641748,850594,2005,SG
Andre Iguodala,2058000,2727744,2005,SF
Andre Miller,8100000,10736019,2005,PG
Andre Owens,398762,528532,2005,PG
Andrei Kirilenko,10983000,14557246,2005,SF
Andres Nocioni,2775000,3678080,2005,PF
Andrew Bogut,4340520,5753074,2005,PF
Andrew Bynum,1888680,2503321,2005,C
Andris Biedrins,1857360,2461808,2005,C
Anfernee Hardaway,15750000,20875592,2005,SF
Antawn Jamison,13843156,18348195,2005,SF
Anthony Carter,900498,1193551,2005,PG
Anthony Goldwire,74652,98946,2005,PG
Anthony Johnson,2420000,3207551,2005,PG
Anthony Roberson,398762,528532,2005,PG
Antoine Walker,6880000,9118988,2005,PF
Antoine Wright,1461360,1936936,2005,SG
Antonio Burks,641748,850594,2005,PG
Antonio Daniels,5000000,6627172,2005,SG
Antonio Davis,13925000,18456674,2005,PF
Antonio McDyess,5393300,7148465,2005,PF
Arvydas Macijauskas,2500000,3313586,2005,SG
Austin Croshere,7900000,10470932,2005,PF
Awvee Storey,641748,850594,2005,SF
Baron Davis,13700000,18158451,2005,PG
Ben Gordon,3610200,4785083,2005,SG
Ben Handlogten,35091,46510,2005,C
Ben Wallace,7500000,9940758,2005,C
Beno Udrih,904800,1199253,2005,PG
Bernard Robinson,641748,850594,2005,SF
Bo Outlaw,1138500,1509007,2005,PF
Bob Sura,3520000,4665529,2005,SG
Bobby Jackson,3375000,4473341,2005,PG
Bobby Simmons,8000000,10603475,2005,SF
Boniface N'Dong,398762,528532,2005,C
Bonzi Wells,8000000,10603475,2005,SG
Boris Diaw,1174200,1556325,2005,PF
Bostjan Nachbar,2500000,3313586,2005,PF
Bracey Wright,398762,528532,2005,SG
Brad Miller,8750000,11597551,2005,C
Brandon Bass,398762,528532,2005,PF
Brendan Haywood,4000000,5301737,2005,C
Brent Barry,4691390,6218129,2005,SG
Brevin Knight,4600000,6096998,2005,PG
Brian Cardinal,5393300,7148465,2005,PF
Brian Cook,1038960,1377073,2005,PF
Brian Grant,16006220,21215194,2005,C
Brian Scalabrine,2586207,3427847,2005,PF
Brian Skinner,4950000,6560900,2005,PF
Bruce Bowen,3375000,4473341,2005,SF
Bryon Russell,1138500,1509007,2005,SF
Calbert Cheaney,1760000,2332764,2005,SF
Calvin Booth,7255098,9616156,2005,C
Carlos Arroyo,4000000,5301737,2005,PG
Carlos Boozer,11593816,15366843,2005,PF
Carlos Delfino,969696,1285268,2005,SG
Carmelo Anthony,3713640,4922186,2005,SF
Caron Butler,2461617,3262711,2005,SF
Channing Frye,2162880,2866755,2005,C
Charles Smith,771123,1022072,2005,SG
Charlie Bell,641748,850594,2005,SG
Charlie Villanueva,2360880,3129191,2005,PF
Charlie Ward,1870000,2478562,2005,PG
Chauncey Billups,5909800,7833052,2005,PG
Chris Andersen,3500000,4639020,2005,C
Chris Bosh,3348000,4437554,2005,C
Chris Duhon,2800000,3711216,2005,PG
Chris Kaman,2753760,3649928,2005,C
Chris Mihm,3792817,5027130,2005,C
Chris Paul,3144240,4167484,2005,PG
Chris Taft,423762,561668,2005,C
Chris Webber,19125000,25348933,2005,PF
Chris Wilcox,2812239,3727438,2005,C
Chucky Atkins,4500000,5964455,2005,PG
CJ Miles,398762,528532,2005,PG
Clarence Weatherspoon,6353200,8420750,2005,PF
Clifford Robinson,2500000,3313586,2005,PF
Corey Maggette,7000000,9278041,2005,SF
Corliss Williamson,6000000,7952606,2005,SF
Curtis Borchardt,1969993,2611096,2005,SG
Cuttino Mobley,7200000,9543128,2005,C
Dahntay Jones,1223160,1621218,2005,SF
Dale Davis,3500000,4639020,2005,C
Damien Wilkins,2500000,3313586,2005,SF
Damon Jones,3590000,4758309,2005,PG
Damon Stoudamire,3750000,4970379,2005,PG
Dan Dickau,2250000,2982227,2005,PG
Dan Gadzuric,4750000,6295813,2005,C
Daniel Ewing,450000,596445,2005,SG
Danny Fortson,6207670,8227859,2005,C
Danny Granger,1318920,1748142,2005,SF
Darius Miles,7250000,9609399,2005,SF
Darius Songaila,2200000,2915955,2005,PF
Darko Milicic,4135200,5480936,2005,C
Darrell Armstrong,1138500,1509007,2005,PG
Darrick Martin,946646,1254717,2005,PG
David Harrison,898200,1190505,2005,C
David Lee,861360,1141676,2005,SF
David Wesley,5070000,6719952,2005,SG
David West,1334160,1768341,2005,PF
Delonte West,1010040,1338741,2005,PG
Deng Gai,92396,122464,2005,C
Derek Anderson,10763000,14265650,2005,SG
Derek Fisher,5393300,7148465,2005,PG
DerMarr Johnson,835810,1107811,2005,SG
Deron Williams,3487400,4622320,2005,PG
Derrick Coleman,2000000,2650868,2005,PF
DeSagana Diop,1850000,2452053,2005,C
DeShawn Stevenson,2750000,3644944,2005,SG
Desmond Mason,7333333,9719852,2005,SF
Devean George,5000600,6627967,2005,SF
Devin Brown,2500000,3313586,2005,SG
Devin Green,398762,528532,2005,SG
Devin Harris,2947440,3906638,2005,PG
Didier Ilunga-Mbenga,880000,1166382,2005,C
Dijon Thompson,398762,528532,2005,SG
Dikembe Mutombo,2000000,2650868,2005,C
Dion Glover,163085,216158,2005,SG
Dirk Nowitzki,13843156,18348195,2005,PF
Donell Taylor,398762,528532,2005,SG
Donta Smith,641748,850594,2005,SG
Donyell Marshall,4799108,6360903,2005,PF
Dorell Wright,1238640,1641736,2005,SF
Doug Christie,9775000,12956121,2005,SG
Drew Gooden,4065811,5388965,2005,PF
Dwayne Jones,398762,528532,2005,PF
Dwight Howard,4493160,5955389,2005,PF
Dwyane Wade,3031920,4018611,2005,SG
Earl Barron,398762,528532,2005,C
Earl Boykins,2750000,3644944,2005,PG
Earl Watson,5000000,6627172,2005,PG
Eddie Basden,398762,528532,2005,SF
Eddie Gill,819551,1086261,2005,PG
Eddie Griffin,2500000,3313586,2005,C
Eddie House,835810,1107811,2005,PG
Eddie Jones,14576250,19319863,2005,SG
Eddie Robinson,5444444,7216253,2005,SG
Eddy Curry,7390000,9794960,2005,C
Eduardo Najera,4190476,5554201,2005,PF
Elton Brand,13152000,17432113,2005,PF
Emeka Okafor,4020120,5328405,2005,PF
Eric Piatkowski,3000000,3976303,2005,SG
Eric Snow,5484375,7269179,2005,PG
Eric Williams,3938000,5219560,2005,SF
Erick Dampier,8662500,11481575,2005,C
Ersan Ilyasova,398762,528532,2005,F
Ervin Johnson,1138500,1509007,2005,C
Esteban Batista,398762,528532,2005,PF
Etan Thomas,5393300,7148465,2005,C
Evan Eschmeyer,3711400,4919217,2005,C
Fabricio Oberto,2325000,3081635,2005,C
Francisco Elson,719373,953481,2005,C
Francisco Garcia,1016400,1347171,2005,SF
Fred Hoiberg,1760000,2332764,2005,SG
Fred Jones,2328843,3086728,2005,SG
Gary Payton,1138500,1509007,2005,PG
George Lynch,3200000,4241390,2005,SF
Gerald Fitch,359858,476968,2005,PG
Gerald Green,1253040,1660822,2005,SG
Gerald Wallace,5000000,6627172,2005,SF
Gilbert Arenas,10243200,13576690,2005,PG
Gordan Giricek,4000000,5301737,2005,SG
Grant Hill,15694250,20801699,2005,SF
Greg Buckner,3595926,4766163,2005,SG
Greg Ostertag,4400000,5831911,2005,C
Ha Seung-Jin,641748,850594,2005,C
Hakim Warrick,1196520,1585908,2005,PF
Hidayet Turkoglu,5393300,7148465,2005,SF
Howard Eisley,5926984,7855827,2005,PG
Iakovos Tsakalidis,2900000,3843759,2005,C
Ibo Kutluay,1760000,2332764,2005,SG
Ike Diogu,1988160,2635175,2005,PF
Ira Newble,2950200,3910296,2005,SG
Jackie Butler,398762,528532,2005,C
Jackson Vroman,682051,904013,2005,PF
Jacque Vaughn,1094550,1450754,2005,SG
Jake Voskuhl,1937500,2568029,2005,C
Jalen Rose,15694250,20801699,2005,SF
Jamaal Magloire,8533333,11310373,2005,C
Jamaal Tinsley,5400000,7157346,2005,PG
Jamal Crawford,6480000,8588815,2005,SG
Jamal Mashburn,10075000,13353752,2005,SF
Jamal Sampson,719373,953481,2005,PF
Jameer Nelson,1189200,1576206,2005,PG
James Jones,2400000,3181042,2005,SF
James Posey,5900400,7820593,2005,SF
James Singleton,625000,828396,2005,SF
James Thomas,148698,197089,2005,PF
Jannero Pargo,895248,1186592,2005,PG
Jared Jeffries,2433824,3225874,2005,PF
Jared Reiner,242612,321566,2005,C
Jarrett Jack,1058640,1403157,2005,SG
Jarron Collins,1700000,2253238,2005,C
Jarvis Hayes,2011080,2665554,2005,SG
Jason Collier,1650000,2186966,2005,C
Jason Collins,5500000,7289889,2005,C
Jason Hart,1540000,2041169,2005,PG
Jason Kapono,1100000,1457977,2005,SF
Jason Kidd,16440000,21790142,2005,PG
Jason Maxiell,905640,1200366,2005,PF
Jason Richardson,8888888,11781638,2005,SG
Jason Terry,6666667,8836230,2005,PG
Jason Williams,7562500,10023598,2005,PG
Jeff Foster,5000000,6627172,2005,C
Jeff McInnis,3400000,4506477,2005,SG
Jermaine Jackson,1355067,1796051,2005,PG
Jermaine O'Neal,16440000,21790142,2005,PF
Jerome James,5000000,6627172,2005,C
Jerome Williams,6620063,8774459,2005,PF
Jerry Stackhouse,8367187,11090157,2005,SG
Jim Jackson,2640000,3499146,2005,SF
Jiri Welsch,2177114,2885621,2005,SF
Joe Johnson,12000000,15905213,2005,SG
