rank,team,salary,salary adjusted,Year
1,Cleveland,14403000,28583905,1991
27,Orlando,7532000,14947853,1991
26,Minnesota,7540000,14963731,1991
25,Miami,8510000,16888774,1991
24,Sacramento,9605000,19061891,1991
23,Washington,9610000,19071812,1991
22,Chicago,10040000,19925184,1991
21,LA Clippers,10245000,20332020,1991
19,Charlotte,10417000,20673368,1991
18,Houston,10500000,20838088,1991
17,Oklahoma City,10590000,21016702,1991
16,Utah,10695000,21225081,1991
15,Indiana,10981000,21792672,1991
20,Denver,10335000,20510633,1991
13,Golden State,11150000,22128068,1991
14,San Antonio,11057000,21943500,1991
3,Detroit,12910000,25620926,1991
4,LA Lakers,12120000,24053108,1991
5,Atlanta,11761000,23340645,1991
6,Dallas,11693000,23205692,1991
7,Philadelphia,11640000,23100510,1991
2,New York,13290000,26375066,1991
9,Phoenix,11463000,22749238,1991
10,Brooklyn,11410000,22644054,1991
11,Boston,11256000,22338430,1991
12,Portland,11215000,22257064,1991
8,Milwaukee,11595000,23011204,1991
17,Charlotte,12625000,23931516,1992
18,Brooklyn,12598000,23880337,1992
19,Golden State,12500000,23694571,1992
20,Sacramento,12492000,23679405,1992
21,Milwaukee,12451000,23601687,1992
22,New York,12399000,23503118,1992
25,San Antonio,11587000,21963918,1992
24,Denver,11879000,22517422,1992
26,Miami,11514000,21825542,1992
27,Minnesota,10763000,20401972,1992
3,Chicago,16829000,31900476,1992
23,Orlando,12250000,23220680,1992
16,Washington,12633000,23946680,1992
2,Cleveland,16882000,32000942,1992
14,Utah,12761000,24189312,1992
1,Boston,25343000,48039325,1992
4,LA Lakers,15673000,29709201,1992
5,Detroit,15428000,29244786,1992
6,Indiana,15090000,28604086,1992
7,Philadelphia,14058000,26647862,1992
15,Portland,12742000,24153296,1992
9,Oklahoma City,13308000,25226187,1992
10,Houston,13274000,25161740,1992
11,Dallas,13004000,24649936,1992
12,LA Clippers,12976000,24596860,1992
13,Atlanta,12930000,24509666,1992
8,Phoenix,13593000,25766425,1992
18,Phoenix,14280000,26257776,1993
19,Charlotte,14150000,26018735,1993
20,Oklahoma City,14033000,25803599,1993
21,Milwaukee,14032000,25801759,1993
22,New York,14001000,25744758,1993
25,Denver,13776180,25331361,1993
24,Sacramento,13953000,25656496,1993
26,Minnesota,13732000,25250125,1993
27,Dallas,10859000,19967311,1993
17,LA Clippers,14288000,26272487,1993
23,Detroit,13954000,25658335,1993
16,Utah,14517000,26693570,1993
10,Brooklyn,16314000,29997856,1993
14,Miami,15125000,27811547,1993
2,Cleveland,19676000,36179836,1993
