rank,team,salary,salary(Inflation),Year
1,Portland,"73,898,705","114,626,133",2000
2,New York,"72,288,001","112,127,728",2000
3,LA Lakers,"55,018,533","85,340,621",2000
4,Indiana,"54,988,605","85,294,196",2000
5,Brooklyn,"53,245,461","82,590,364",2000
6,Washington,"53,194,441","82,511,226",2000
7,Miami,"52,496,573","81,428,740",2000
8,Houston,"52,269,367","81,076,318",2000
9,Utah,"50,348,426","78,096,701",2000
10,Cleveland,"46,547,966","72,201,712",2000
11,Phoenix,"46,544,037","72,195,616",2000
12,Boston,"46,152,875","71,588,876",2000
13,Milwaukee,"44,680,197","69,304,569",2000
14,Atlanta,"44,169,202","68,511,952",2000
15,Philadelphia,"43,890,593","68,079,794",2000
16,Minnesota,"42,642,272","66,143,493",2000
17,San Antonio,"42,529,801","65,969,036",2000
18,Detroit,"42,141,801","65,367,200",2000
19,Orlando,"41,586,801","64,506,322",2000
20,Denver,"40,677,095","63,095,255",2000
21,Sacramento,"40,113,125","62,220,470",2000
22,Dallas,"40,014,500","62,067,488",2000
23,Charlotte,"38,619,012","59,902,913",2000
24,Oklahoma City,"38,258,910","59,344,348",2000
25,Memphis,"37,432,688","58,062,776",2000
26,Golden State,"36,133,518","56,047,597",2000
27,Toronto,"34,730,320","53,871,064",2000
28,Chicago,"27,032,368","41,930,575",2000
29,LA Clippers,"22,489,343","34,883,777",2000
1,Portland,"87,395,140","130,685,637",2001
2,New York,"74,007,738","110,666,888",2001
3,Miami,"73,472,329","109,866,267",2001
4,Brooklyn,"68,977,578","103,145,079",2001
5,Washington,"59,085,969","88,353,738",2001
6,LA Lakers,"58,968,213","88,177,651",2001
7,Milwaukee,"57,819,318","86,459,659",2001
8,San Antonio,"57,215,938","85,557,399",2001
9,Indiana,"55,086,140","82,372,624",2001
10,Phoenix,"53,906,347","80,608,430",2001
11,Utah,"53,893,860","80,589,757",2001
12,Dallas,"52,274,842","78,168,771",2001
13,Denver,"52,189,220","78,040,738",2001
14,Oklahoma City,"51,538,658","77,067,926",2001
15,Boston,"51,478,707","76,978,277",2001
16,Philadelphia,"51,085,458","76,390,235",2001
17,Cleveland,"49,780,549","74,438,948",2001
18,Houston,"49,283,309","73,695,406",2001
19,Memphis,"48,899,840","73,121,988",2001
20,Minnesota,"47,488,500","71,011,552",2001
21,Charlotte,"46,441,558","69,446,013",2001
22,Sacramento,"46,266,289","69,183,929",2001
23,Golden State,"42,363,018","63,347,202",2001
24,Detroit,"40,475,338","60,524,473",2001
25,Atlanta,"39,297,129","58,762,651",2001
26,Toronto,"38,313,749","57,292,160",2001
27,Orlando,"37,459,860","56,015,304",2001
28,Chicago,"29,691,907","44,399,556",2001
29,LA Clippers,"29,606,189","44,271,376",2001
1,New York,"85,993,039","124,543,515",2002
2,Portland,"84,292,850","122,081,136",2002
3,Brooklyn,"75,193,712","108,902,877",2002
4,Philadelphia,"58,073,366","84,107,518",2002
5,Dallas,"57,960,080","83,943,444",2002
6,Phoenix,"56,596,369","81,968,386",2002
7,Milwaukee,"56,224,266","81,429,470",2002
8,Minnesota,"55,093,782","79,792,192",2002
